日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-07-24,13:11:00,基金,光伏ETF(515790.XSHG),买,市价单,133600股,0.748,99932.8,133600股,-,0,9.99,全部成交,2025-07-24 13:11:00
2025-07-25,13:10:00,基金,光伏ETF(515790.XSHG),卖,市价单,-133600股,0.745,-99532,-133600股,-,-400.8,9.95,全部成交,2025-07-25 13:10:00
2025-07-25,13:11:00,基金,工业有色(560860.XSHG),买,市价单,96600股,1.03,99498,96600股,-,0,9.95,全部成交,2025-07-25 13:11:00
2025-07-28,13:10:00,基金,工业有色(560860.XSHG),卖,市价单,-96600股,1.038,-100270.8,-96600股,-,772.8,10.03,全部成交,2025-07-28 13:10:00
2025-07-28,13:11:00,基金,建材ETF国泰(159745.XSHE),买,市价单,156000股,0.643,100308,156000股,-,0,10.03,全部成交,2025-07-28 13:11:00
2025-07-29,13:10:00,基金,建材ETF国泰(159745.XSHE),卖,市价单,-156000股,0.636,-99216,-156000股,-,-1092,9.92,全部成交,2025-07-29 13:10:00
2025-07-29,13:11:00,基金,创新药(515120.XSHG),买,市价单,141700股,0.7,99190,141700股,-,0,9.92,全部成交,2025-07-29 13:11:00
2025-07-30,13:10:00,基金,创新药(515120.XSHG),卖,市价单,-141700股,0.711,-100748.7,-141700股,-,1558.7,10.07,全部成交,2025-07-30 13:10:00
2025-07-30,13:11:00,基金,生物医药ETF天弘(159859.XSHE),买,市价单,229400股,0.439,100706.6,229400股,-,0,10.07,全部成交,2025-07-30 13:11:00
2025-08-01,13:10:00,基金,生物医药ETF天弘(159859.XSHE),卖,市价单,-229400股,0.426,-97724.4,-229400股,-,-2982.2,9.77,全部成交,2025-08-01 13:10:00
2025-08-01,13:11:00,基金,创新药ETF银华(159992.XSHE),买,市价单,106400股,0.918,97675.2,106400股,-,0,9.77,全部成交,2025-08-01 13:11:00
2025-08-05,13:10:00,基金,创新药ETF银华(159992.XSHE),卖,市价单,-106400股,0.919,-97781.6,-106400股,-,106.4,9.78,全部成交,2025-08-05 13:10:00
2025-08-05,13:11:00,基金,香港证券(513090.XSHG),买,市价单,44100股,2.214,97637.4,44100股,-,0,9.76,全部成交,2025-08-05 13:11:00
2025-08-06,13:10:00,基金,香港证券(513090.XSHG),卖,市价单,-44100股,2.235,-98563.5,-44100股,-,926.1,9.86,全部成交,2025-08-06 13:10:00
2025-08-06,13:11:00,基金,稀土ETF(516780.XSHG),买,市价单,73200股,1.348,98673.6,73200股,-,0,9.87,全部成交,2025-08-06 13:11:00
2025-08-07,13:10:00,基金,稀土ETF(516780.XSHG),卖,市价单,-73200股,1.352,-98966.4,-73200股,-,292.8,9.9,全部成交,2025-08-07 13:10:00
2025-08-07,13:11:00,基金,AI科创(588760.XSHG),买,市价单,160700股,0.616,98991.2,160700股,-,0,9.9,全部成交,2025-08-07 13:11:00
2025-08-11,13:10:00,基金,AI科创(588760.XSHG),卖,市价单,-160700股,0.604,-97062.8,-160700股,-,-1928.4,9.71,全部成交,2025-08-11 13:10:00
2025-08-11,13:11:00,基金,恒生医药ETF华夏(159892.XSHE),买,市价单,109200股,0.888,96969.6,109200股,-,0,9.7,全部成交,2025-08-11 13:11:00
2025-08-12,13:10:00,基金,恒生医药ETF华夏(159892.XSHE),卖,市价单,-109200股,0.878,-95877.6,-109200股,-,-1092,9.59,全部成交,2025-08-12 13:10:00
2025-08-12,13:11:00,基金,恒生新药(520500.XSHG),买,市价单,49700股,1.929,95871.3,49700股,-,0,9.59,全部成交,2025-08-12 13:11:00
2025-08-13,13:10:00,基金,恒生新药(520500.XSHG),卖,市价单,-49700股,1.991,-98952.7,-49700股,-,3081.4,9.9,全部成交,2025-08-13 13:10:00
