日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-07-28,13:10:00,基金,创业板ETF易方达(159915.XSHE),买,市价单,43000股,2.325,99975,43000股,-,0,20,全部成交,2025-07-28 13:10:00
2025-08-07,13:09:00,基金,创业板ETF易方达(159915.XSHE),卖,市价单,-43000股,2.325,-99975,-43000股,-,0,20,全部成交,2025-08-07 13:09:00
2025-08-07,13:10:00,基金,科创板50(588080.XSHG),买,市价单,91400股,1.093,99900.2,91400股,-,0,19.98,全部成交,2025-08-07 13:10:00
2025-08-08,13:09:00,基金,科创板50(588080.XSHG),卖,市价单,-91400股,1.076,-98346.4,-91400股,-,-1553.8,19.67,全部成交,2025-08-08 13:09:00
2025-08-08,13:10:00,基金,纳指科技ETF景顺(159509.XSHE),买,市价单,53900股,1.822,98205.8,53900股,-,0,19.64,全部成交,2025-08-08 13:10:00
2025-08-19,13:09:00,基金,纳指科技ETF景顺(159509.XSHE),卖,市价单,-53900股,1.866,-100577.4,-53900股,-,2371.6,20.12,全部成交,2025-08-19 13:09:00
2025-08-19,13:10:00,基金,创业板成长ETF华夏(159967.XSHE),买,市价单,185100股,0.544,100694.4,185100股,-,0,20.14,全部成交,2025-08-19 13:10:00
2025-08-26,13:09:00,基金,创业板成长ETF华夏(159967.XSHE),卖,市价单,-185100股,0.564,-104396.4,-185100股,-,3702,20.88,全部成交,2025-08-26 13:09:00
2025-08-26,13:10:00,基金,科创板50(588080.XSHG),买,市价单,79700股,1.309,104327.3,79700股,-,0,20.87,全部成交,2025-08-26 13:10:00
2025-09-04,10:15:00,基金,科创板50(588080.XSHG),卖,市价单,-79700股,1.284,-102334.8,-79700股,-,-1992.5,20.47,全部成交,2025-09-04 10:15:00
2025-09-04,13:10:00,基金,创业板ETF易方达(159915.XSHE),买,市价单,36400股,2.805,102102,36400股,-,0,20.42,全部成交,2025-09-04 13:10:00
2025-09-05,13:09:00,基金,创业板ETF易方达(159915.XSHE),卖,市价单,-36400股,2.843,-103485.2,-36400股,-,1383.2,20.7,全部成交,2025-09-05 13:09:00
