日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-07-24,13:10:00,基金,科创医药(588860.XSHG),买,市价单,64800股,1.541,99856.8,64800股,-,0,9.99,全部成交,2025-07-24 13:10:00
2025-07-25,13:10:00,基金,科创医药(588860.XSHG),卖,市价单,-64800股,1.542,-99921.6,-64800股,-,64.8,9.99,全部成交,2025-07-25 13:10:00
2025-07-25,14:00:00,基金,工业有色(560860.XSHG),买,市价单,96400股,1.037,99966.8,96400股,-,0,10,全部成交,2025-07-25 14:00:00
2025-07-28,13:10:00,基金,工业有色(560860.XSHG),卖,市价单,-96400股,1.038,-100063.2,-96400股,-,96.4,10.01,全部成交,2025-07-28 13:10:00
2025-07-28,14:55:00,基金,建材ETF国泰(159745.XSHE),买,市价单,155400股,0.644,100077.6,155400股,-,0,10.01,全部成交,2025-07-28 14:55:00
2025-07-29,13:10:00,基金,建材ETF国泰(159745.XSHE),卖,市价单,-155400股,0.636,-98834.4,-155400股,-,-1243.2,9.88,全部成交,2025-07-29 13:10:00
2025-07-29,13:40:00,基金,创新医药(516080.XSHG),买,市价单,134400股,0.735,98784,134400股,-,0,9.88,全部成交,2025-07-29 13:40:00
2025-07-30,13:10:00,基金,创新医药(516080.XSHG),卖,市价单,-134400股,0.741,-99590.4,-134400股,-,806.4,9.96,全部成交,2025-07-30 13:10:00
2025-07-30,14:30:00,基金,科创医药(588860.XSHG),买,市价单,63200股,1.576,99603.2,63200股,-,0,9.96,全部成交,2025-07-30 14:30:00
2025-08-01,13:10:00,基金,科创医药(588860.XSHG),卖,市价单,-63200股,1.56,-98592,-63200股,-,-1011.2,9.86,全部成交,2025-08-01 13:10:00
2025-08-01,14:55:00,基金,纳指科技ETF景顺(159509.XSHE),买,市价单,55500股,1.774,98457,55500股,-,0,9.85,全部成交,2025-08-01 14:55:00
2025-08-07,13:10:00,基金,纳指科技ETF景顺(159509.XSHE),卖,市价单,-55500股,1.813,-100621.5,-55500股,-,2164.5,10.06,全部成交,2025-08-07 13:10:00
2025-08-07,13:10:00,基金,AI科创(588760.XSHG),买,市价单,163500股,0.616,100716,163500股,-,0,10.07,全部成交,2025-08-07 13:10:00
2025-08-08,13:10:00,基金,AI科创(588760.XSHG),卖,市价单,-163500股,0.598,-97773,-163500股,-,-2943,9.78,全部成交,2025-08-08 13:10:00
2025-08-08,13:10:00,基金,恒生医疗(513060.XSHG),买,市价单,144600股,0.676,97749.6,144600股,-,0,9.77,全部成交,2025-08-08 13:10:00
2025-08-11,13:10:00,基金,恒生医疗(513060.XSHG),卖,市价单,-144600股,0.675,-97605,-144600股,-,-144.6,9.76,全部成交,2025-08-11 13:10:00
2025-08-11,13:40:00,基金,纳指科技ETF景顺(159509.XSHE),买,市价单,52700股,1.852,97600.4,52700股,-,0,9.76,全部成交,2025-08-11 13:40:00
2025-08-12,13:10:00,基金,纳指科技ETF景顺(159509.XSHE),卖,市价单,-52700股,1.857,-97863.9,-52700股,-,263.5,9.79,全部成交,2025-08-12 13:10:00
2025-08-12,14:00:00,基金,恒生新药(520500.XSHG),买,市价单,50500股,1.936,97768,50500股,-,0,9.78,全部成交,2025-08-12 14:00:00
2025-08-13,13:10:00,基金,恒生新药(520500.XSHG),卖,市价单,-50500股,1.991,-100545.5,-50500股,-,2777.5,10.05,全部成交,2025-08-13 13:10:00
2025-08-13,13:10:00,基金,AI科创(588760.XSHG),买,市价单,161400股,0.623,100552.2,161400股,-,0,10.06,全部成交,2025-08-13 13:10:00
2025-08-14,13:10:00,基金,AI科创(588760.XSHG),卖,市价单,-161400股,0.625,-100875,-161400股,-,322.8,10.09,全部成交,2025-08-14 13:10:00
2025-08-14,14:00:00,基金,通信ETF富国(159583.XSHE),买,市价单,62200股,1.62,100764,62200股,-,0,10.08,全部成交,2025-08-14 14:00:00
2025-08-18,13:10:00,基金,通信ETF富国(159583.XSHE),卖,市价单,-62200股,1.713,-106548.6,-62200股,-,5784.6,10.65,全部成交,2025-08-18 13:10:00
2025-08-18,14:55:00,基金,创业板人工智能ETF华宝(159363.XSHE),买,市价单,149800股,0.712,106657.6,149800股,-,0,10.67,全部成交,2025-08-18 14:55:00
2025-08-19,13:10:00,基金,创业板人工智能ETF华宝(159363.XSHE),卖,市价单,-149800股,0.734,-109953.2,-149800股,-,3295.6,11,全部成交,2025-08-19 13:10:00
2025-08-19,14:55:00,基金,AI科创(588760.XSHG),买,市价单,166500股,0.66,109890,166500股,-,0,10.99,全部成交,2025-08-19 14:55:00
2025-08-21,13:10:00,基金,AI科创(588760.XSHG),卖,市价单,-166500股,0.691,-115051.5,-166500股,-,5161.5,11.51,全部成交,2025-08-21 13:10:00
2025-08-21,14:55:00,基金,科创芯(588890.XSHG),买,市价单,55600股,2.067,114925.2,55600股,-,0,11.49,全部成交,2025-08-21 14:55:00
2025-08-22,13:10:00,基金,科创芯(588890.XSHG),卖,市价单,-55600股,2.252,-125211.2,-55600股,-,10286,12.52,全部成交,2025-08-22 13:10:00
2025-08-22,13:10:00,基金,电子龙头(561100.XSHG),买,市价单,112600股,1.113,125323.8,112600股,-,0,12.53,全部成交,2025-08-22 13:10:00
2025-08-25,13:10:00,基金,电子龙头(561100.XSHG),卖,市价单,-112600股,1.138,-128138.8,-112600股,-,2815,12.81,全部成交,2025-08-25 13:10:00
2025-08-25,14:00:00,基金,科创100F(588220.XSHG),买,市价单,100700股,1.272,128090.4,100700股,-,0,12.81,全部成交,2025-08-25 14:00:00
2025-08-26,13:10:00,基金,科创100F(588220.XSHG),卖,市价单,-100700股,1.286,-129500.2,-100700股,-,1409.8,12.95,全部成交,2025-08-26 13:10:00
2025-08-26,14:00:00,基金,科创板指(588040.XSHG),买,市价单,98300股,1.317,129461.1,98300股,-,0,12.95,全部成交,2025-08-26 14:00:00
2025-08-27,13:10:00,基金,科创板指(588040.XSHG),卖,市价单,-98300股,1.361,-133786.3,-98300股,-,4325.2,13.38,全部成交,2025-08-27 13:10:00
2025-08-27,14:55:00,基金,工业母机ETF国泰(159667.XSHE),买,市价单,96800股,1.382,133777.6,96800股,-,0,13.38,全部成交,2025-08-27 14:55:00
2025-08-28,13:10:00,基金,工业母机ETF国泰(159667.XSHE),卖,市价单,-96800股,1.378,-133390.4,-96800股,-,-387.2,13.34,全部成交,2025-08-28 13:10:00
2025-08-28,14:00:00,基金,智能驾驶(516520.XSHG),买,市价单,106200股,1.256,133387.2,106200股,-,0,13.34,全部成交,2025-08-28 14:00:00
2025-08-29,13:10:00,基金,智能驾驶(516520.XSHG),卖,市价单,-106200股,1.283,-136254.6,-106200股,-,2867.4,13.63,全部成交,2025-08-29 13:10:00
2025-08-29,13:10:00,基金,工业母机ETF国泰(159667.XSHE),买,市价单,95800股,1.421,136131.8,95800股,-,0,13.61,全部成交,2025-08-29 13:10:00
2025-09-01,13:10:00,基金,工业母机ETF国泰(159667.XSHE),卖,市价单,-95800股,1.436,-137568.8,-95800股,-,1437,13.76,全部成交,2025-09-01 13:10:00
2025-09-01,13:40:00,基金,中韩芯片(513310.XSHG),买,市价单,70700股,1.947,137652.9,70700股,-,0,13.77,全部成交,2025-09-01 13:40:00
2025-09-02,13:10:00,基金,中韩芯片(513310.XSHG),卖,市价单,-70700股,1.928,-136309.6,-70700股,-,-1343.3,13.63,全部成交,2025-09-02 13:10:00
2025-09-02,13:40:00,基金,光伏ETF(515790.XSHG),买,市价单,165900股,0.821,136203.9,165900股,-,0,13.62,全部成交,2025-09-02 13:40:00
2025-09-04,13:10:00,基金,光伏ETF(515790.XSHG),卖,市价单,-165900股,0.864,-143337.6,-165900股,-,7133.7,14.33,全部成交,2025-09-04 13:10:00
2025-09-04,14:00:00,基金,新汽车(515030.XSHG),买,市价单,96200股,1.49,143338,96200股,-,0,14.33,全部成交,2025-09-04 14:00:00
2025-09-05,13:10:00,基金,新汽车(515030.XSHG),卖,市价单,-96200股,1.559,-149975.8,-96200股,-,6637.8,15,全部成交,2025-09-05 13:10:00
2025-09-05,14:00:00,基金,中韩芯片(513310.XSHG),买,市价单,80700股,1.858,149940.6,80700股,-,0,14.99,全部成交,2025-09-05 14:00:00
2025-09-08,13:10:00,基金,中韩芯片(513310.XSHG),卖,市价单,-80700股,1.88,-151716,-80700股,-,1775.4,15.17,全部成交,2025-09-08 13:10:00
2025-09-08,13:10:00,基金,化工ETF鹏华(159870.XSHE),买,市价单,214300股,0.708,151724.4,214300股,-,0,15.17,全部成交,2025-09-08 13:10:00
2025-09-09,13:10:00,基金,化工ETF鹏华(159870.XSHE),卖,市价单,-214300股,0.706,-151295.8,-214300股,-,-428.6,15.13,全部成交,2025-09-09 13:10:00
2025-09-09,14:55:00,基金,稀土基金(516150.XSHG),买,市价单,90200股,1.677,151265.4,90200股,-,0,15.13,全部成交,2025-09-09 14:55:00
2025-09-10,13:10:00,基金,稀土基金(516150.XSHG),卖,市价单,-90200股,1.675,-151085,-90200股,-,-180.4,15.11,全部成交,2025-09-10 13:10:00
2025-09-10,13:10:00,基金,中韩芯片(513310.XSHG),买,市价单,77300股,1.953,150966.9,77300股,-,0,15.1,全部成交,2025-09-10 13:10:00
2025-09-12,13:10:00,基金,中韩芯片(513310.XSHG),卖,市价单,-77300股,2.072,-160165.6,-77300股,-,9198.7,16.02,全部成交,2025-09-12 13:10:00
2025-09-12,14:55:00,基金,科技ETF(515000.XSHG),买,市价单,166900股,0.96,160224,166900股,-,0,16.02,全部成交,2025-09-12 14:55:00
2025-09-16,13:10:00,基金,科技ETF(515000.XSHG),卖,市价单,-166900股,0.962,-160557.8,-166900股,-,333.8,16.06,全部成交,2025-09-16 13:10:00
2025-09-16,14:00:00,基金,人工智能ETF易方达(159819.XSHE),买,市价单,108400股,1.48,160432,108400股,-,0,16.04,全部成交,2025-09-16 14:00:00
2025-09-17,13:10:00,基金,人工智能ETF易方达(159819.XSHE),卖,市价单,-108400股,1.468,-159131.2,-108400股,-,-1300.8,15.91,全部成交,2025-09-17 13:10:00
2025-09-17,14:00:00,基金,创业板人工智能ETF华宝(159363.XSHE),买,市价单,182700股,0.871,159131.7,182700股,-,0,15.91,全部成交,2025-09-17 14:00:00
