日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-07-29,10:30:00,股票,国泰环保(301203.XSHE),买,市价单,600股,33.06,19836,600股,-,0,1.98,全部成交,2025-07-29 10:30:00
2025-07-29,10:30:00,股票,华丰股份(605100.XSHG),买,市价单,1000股,20.14,20140,1000股,-,0,2.01,全部成交,2025-07-29 10:30:00
2025-07-29,10:30:00,股票,申华控股(600653.XSHG),买,市价单,11200股,1.92,21504,11200股,-,0,2.15,全部成交,2025-07-29 10:30:00
2025-07-29,10:30:00,股票,双乐股份(301036.XSHE),买,市价单,500股,37.04,18520,500股,-,0,1.85,全部成交,2025-07-29 10:30:00
2025-07-29,10:30:00,股票,江苏华辰(603097.XSHG),买,市价单,900股,21.72,19548,900股,-,0,1.95,全部成交,2025-07-29 10:30:00
2025-07-29,10:30:00,股票,万憬能源(002700.XSHE),买,市价单,2900股,7.45,21605,2900股,-,0,2.16,全部成交,2025-07-29 10:30:00
2025-08-18,14:20:00,股票,国泰环保(301203.XSHE),卖,市价单,-600股,32.43,-19458,-600股,-,-378,11.67,全部成交,2025-08-18 14:20:00
2025-08-18,14:20:00,股票,准油股份(002207.XSHE),买,市价单,3000股,7.26,21780,3000股,-,0,2.18,全部成交,2025-08-18 14:20:00
2025-08-20,14:20:00,股票,华丰股份(605100.XSHG),卖,市价单,-1000股,24.16,-24160,-1000股,-,4020,14.5,全部成交,2025-08-20 14:20:00
2025-08-20,14:20:00,股票,国泰环保(301203.XSHE),买,市价单,700股,32.19,22533,700股,-,0,2.25,全部成交,2025-08-20 14:20:00
2025-08-22,14:20:00,股票,准油股份(002207.XSHE),卖,市价单,-3000股,8.59,-25770,-3000股,-,3990,15.46,全部成交,2025-08-22 14:20:00
2025-08-22,14:20:00,股票,北京文化(000802.XSHE),买,市价单,4700股,4.95,23265,4700股,-,0,2.33,全部成交,2025-08-22 14:20:00
2025-09-03,14:20:00,股票,申华控股(600653.XSHG),卖,市价单,-11200股,2.11,-23632,-11200股,-,2128,14.18,全部成交,2025-09-03 14:20:00
2025-09-03,14:20:00,股票,冠中生态(300948.XSHE),买,市价单,2000股,10.91,21820,2000股,-,0,2.18,全部成交,2025-09-03 14:20:00
2025-09-08,14:55:00,股票,国泰环保(301203.XSHE),卖,市价单,-700股,37.19,-26033,-700股,-,3500,15.62,全部成交,2025-09-08 14:55:00
2025-09-08,14:55:00,股票,华菱精工(603356.XSHG),买,市价单,1800股,13.18,23724,1800股,-,0,2.37,全部成交,2025-09-08 14:55:00
2025-09-22,10:00:00,股票,万憬能源(002700.XSHE),卖,市价单,-2900股,6.72,-19488,-2900股,-,-2117,11.69,全部成交,2025-09-22 10:00:00
2025-09-23,10:30:00,股票,神力股份(603819.XSHG),买,市价单,2000股,11.1,22200,2000股,-,0,2.22,全部成交,2025-09-23 10:30:00
2025-10-09,10:00:00,股票,双乐股份(301036.XSHE),卖,市价单,-500股,33.29,-16645,-500股,-,-1875,9.99,全部成交,2025-10-09 10:00:00
2025-10-09,10:00:00,股票,北京文化(000802.XSHE),卖,市价单,-4700股,4.44,-20868,-4700股,-,-2397,12.52,全部成交,2025-10-09 10:00:00
2025-10-10,10:30:00,股票,南方路机(603280.XSHG),买,市价单,700股,36.27,25389,700股,-,0,2.54,全部成交,2025-10-10 10:30:00
2025-10-10,10:30:00,股票,森林包装(605500.XSHG),买,市价单,2900股,9.25,26825,2900股,-,0,2.68,全部成交,2025-10-10 10:30:00
2025-10-10,14:20:00,股票,冠中生态(300948.XSHE),卖,市价单,-2000股,22.34,-44680,-2000股,-,22860,26.81,全部成交,2025-10-10 14:20:00
2025-10-10,14:20:00,股票,富煌钢构(002743.XSHE),买,市价单,5000股,5.37,26850,5000股,-,0,2.68,全部成交,2025-10-10 14:20:00
2025-10-14,10:15:00,股票,南方路机(603280.XSHG),卖,市价单,-700股,38.11,-26677,-700股,-,1288,16.01,全部成交,2025-10-14 10:15:00
2025-10-14,10:30:00,股票,万憬能源(002700.XSHE),买,市价单,3800股,7.17,27246,3800股,-,0,2.72,全部成交,2025-10-14 10:30:00
2025-10-20,14:55:00,股票,万憬能源(002700.XSHE),卖,市价单,-3800股,7.76,-29488,-3800股,-,2242,17.69,全部成交,2025-10-20 14:55:00
2025-10-20,14:55:00,股票,皇庭国际(000056.XSHE),买,市价单,11800股,2.34,27612,11800股,-,0,2.76,全部成交,2025-10-20 14:55:00
2025-10-21,10:15:00,股票,江苏华辰(603097.XSHG),卖,市价单,-900股,24.08,-21672,-900股,-,2124,13,全部成交,2025-10-21 10:15:00
2025-10-21,10:30:00,股票,万憬能源(002700.XSHE),买,市价单,3700股,7.54,27898,3700股,-,0,2.79,全部成交,2025-10-21 10:30:00
