日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-07-24,09:30:20,股票,优彩资源(002998.XSHE),买,市价单,1300股,7.47,9711,1300股,-,0,5,全部成交,2025-07-24 09:30:20
2025-07-24,09:30:20,股票,梅轮电梯(603321.XSHG),买,市价单,1200股,8.18,9816,1200股,-,0,5,全部成交,2025-07-24 09:30:20
2025-07-24,09:30:20,股票,我乐家居(603326.XSHG),买,市价单,1100股,8.93,9823,1100股,-,0,5,全部成交,2025-07-24 09:30:20
2025-07-24,09:30:20,股票,双箭股份(002381.XSHE),买,市价单,1400股,7,9800,1400股,-,0,5,全部成交,2025-07-24 09:30:20
2025-07-24,09:30:20,股票,锦和商管(603682.XSHG),买,市价单,1600股,6.06,9696,1600股,-,0,5,全部成交,2025-07-24 09:30:20
2025-07-24,09:30:20,股票,胜利股份(000407.XSHE),买,市价单,2800股,3.51,9828,2800股,-,0,5,全部成交,2025-07-24 09:30:20
2025-07-24,09:30:20,股票,瑞尔特(002790.XSHE),买,市价单,1300股,7.55,9815,1300股,-,0,5,全部成交,2025-07-24 09:30:20
2025-07-24,09:30:20,股票,众兴菌业(002772.XSHE),买,市价单,1200股,8.22,9864,1200股,-,0,5,全部成交,2025-07-24 09:30:20
2025-07-24,09:30:20,股票,鹭燕医药(002788.XSHE),买,市价单,1100股,8.62,9482,1100股,-,0,5,全部成交,2025-07-24 09:30:20
2025-07-24,09:30:20,股票,永清环保(300187.XSHE),买,市价单,1800股,5.44,9792,1800股,-,0,5,全部成交,2025-07-24 09:30:20
2025-08-01,09:30:20,股票,胜利股份(000407.XSHE),卖,市价单,-2800股,3.4,-9520,-2800股,-,-308,14.52,全部成交,2025-08-01 09:30:20
2025-08-01,09:30:20,股票,金洲管道(002443.XSHE),买,市价单,1700股,6.91,11747,1700股,-,0,5,全部成交,2025-08-01 09:30:20
2025-09-01,09:30:20,股票,永清环保(300187.XSHE),卖,市价单,-1800股,5.29,-9522,-1800股,-,-270,14.52,全部成交,2025-09-01 09:30:20
2025-09-01,09:30:20,股票,金洲管道(002443.XSHE),卖,市价单,-1700股,7.14,-12138,-1700股,-,391,17.14,全部成交,2025-09-01 09:30:20
